V1,V4,V5
S,mas <a> é o meu ganha pão,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,né,S_ALCP_2017FA+_AdrieleS.eaf
S,a,S_ALCP_2017FA+_AdrieleS.eaf
S,de primeiro a gente não tinha muitos <a> sonhos <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,ah,S_ALCP_2017FA+_AdrieleS.eaf
S,agora tem né,S_ALCP_2017FA+_AdrieleS.eaf
D1,sim,S_ALCP_2017FA+_AdrieleS.eaf
S,por causa que a gente morava no norte não tinha muitos <a> sonhos <a>,S_ALCP_2017FA+_AdrieleS.eaf
S,pra,S_ALCP_2017FA+_AdrieleS.eaf
S,o meu sonho que eu queria sabe,S_ALCP_2017FA+_AdrieleS.eaf
S,era três <a> coisa,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhn,S_ALCP_2017FA+_AdrieleS.eaf
S,era saber ler,S_ALCP_2017FA+_AdrieleS.eaf
S,mas eu acho que eh um pouco falta de interesse mesmo <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,que esse ano que vem se deus <a> quiser eu vou voltar a estudar <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,e,S_ALCP_2017FA+_AdrieleS.eaf
S,ai,S_ALCP_2017FA+_AdrieleS.eaf
D1,os outros dois sonhos qual que era,S_ALCP_2017FA+_AdrieleS.eaf
S,e saber dirigir,S_ALCP_2017FA+_AdrieleS.eaf
S,e minha mãe e meu pai se  deus <a> não tivesse me levado era os <a> três <a> sonho que eu queria só isso,S_ALCP_2017FA+_AdrieleS.eaf
S,só que,S_ALCP_2017FA+_AdrieleS.eaf
S,o,S_ALCP_2017FA+_AdrieleS.eaf
S,tem um rapaz <a> um amigo do t que,S_ALCP_2017FA+_AdrieleS.eaf
S,ensina né,S_ALCP_2017FA+_AdrieleS.eaf
S,particular daí eu ele vai me ensinar se deus <a> quiser eu vou,S_ALCP_2017FA+_AdrieleS.eaf
D1,vai conseguir,S_ALCP_2017FA+_AdrieleS.eaf
S,conseguir com fé em deus <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,aí você vai voltar a estudar também,S_ALCP_2017FA+_AdrieleS.eaf
S,vou,S_ALCP_2017FA+_AdrieleS.eaf
D1,vai realizar os dois sonhos,S_ALCP_2017FA+_AdrieleS.eaf
S,os <a> dois <0> mas <a> o outro eu não vou realizar mas <a> deus <a> não quis <0> né,S_ALCP_2017FA+_AdrieleS.eaf
S,deus <a> quer eles <a> estão <e> melhor do que a gente lá,S_ALCP_2017FA+_AdrieleS.eaf
S,daí,S_ALCP_2017FA+_AdrieleS.eaf
S,era esses <a> três <a> sonho que eu queria,S_ALCP_2017FA+_AdrieleS.eaf
D1,e se você ganhasse na mega sena o que que você faria,S_ALCP_2017FA+_AdrieleS.eaf
S,ah eu ajudava tanta gente,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,primeiro você ia começar ajudando,S_ALCP_2017FA+_AdrieleS.eaf
S,pri eh,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
S,primeiro eu ia,S_ALCP_2017FA+_AdrieleS.eaf
S,que nem eu falei,S_ALCP_2017FA+_AdrieleS.eaf
S,com meu esposo <a> primeiro eu ia fazer sabe o quê,S_ALCP_2017FA+_AdrieleS.eaf
S,ia lá no norte,S_ALCP_2017FA+_AdrieleS.eaf
S,ajudava umas <a> família minha que está <e> precisando bastante <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,tem uma tia lá minha que,S_ALCP_2017FA+_AdrieleS.eaf
S,tadinha que está <e> passando até fome,S_ALCP_2017FA+_AdrieleS.eaf
D1,ah é,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,nossa,S_ALCP_2017FA+_AdrieleS.eaf
S,daí minha irmã que está <e> mandando um dinheirinho pra ela,S_ALCP_2017FA+_AdrieleS.eaf
D1,está ajudando ela,S_ALCP_2017FA+_AdrieleS.eaf
S,é porque eu estou <e> parada agora eu não posso ajudar né,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,primeiro eu ia no norte,S_ALCP_2017FA+_AdrieleS.eaf
S,não ia nem resolver nada meu agora,S_ALCP_2017FA+_AdrieleS.eaf
S,que graças <a> a deus <a>,S_ALCP_2017FA+_AdrieleS.eaf
S,eu estou <e> de baixo de um,S_ALCP_2017FA+_AdrieleS.eaf
S,da minha casa né e a casa dela está <e> quase caindo lá,S_ALCP_2017FA+_AdrieleS.eaf
S,ia reformar a casa dela,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,dar um dinheirinho pra ela sobreviver,S_ALCP_2017FA+_AdrieleS.eaf
S,ia ajudar meus <a> tio,S_ALCP_2017FA+_AdrieleS.eaf
S,daí quando eu,S_ALCP_2017FA+_AdrieleS.eaf
S,viesse pra cá eu ia ajudar a minhas <a> irmã,S_ALCP_2017FA+_AdrieleS.eaf
D1,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,assim,S_ALCP_2017FA+_AdrieleS.eaf
S,terminar de reformar a casa delas <a> tudo,S_ALCP_2017FA+_AdrieleS.eaf
S,e as <a> pessoa que eu gostasse <a>,S_ALCP_2017FA+_AdrieleS.eaf
S,eu ajudava também,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
S,daí depois <a>,S_ALCP_2017FA+_AdrieleS.eaf
D1,ah,S_ALCP_2017FA+_AdrieleS.eaf
S,eu ia,S_ALCP_2017FA+_AdrieleS.eaf
D1,aproveitar,S_ALCP_2017FA+_AdrieleS.eaf
S,aproveitar minha vida,S_ALCP_2017FA+_AdrieleS.eaf
S,não ia nem terminar a casa direito ia comprar uma casa na beira da praia,S_ALCP_2017FA+_AdrieleS.eaf
S,filha,S_ALCP_2017FA+_AdrieleS.eaf
S,oxe não é não,S_ALCP_2017FA+_AdrieleS.eaf
S,ia curtir minha vida,S_ALCP_2017FA+_AdrieleS.eaf
S,não estiver <e> trabalhando ah não,S_ALCP_2017FA+_AdrieleS.eaf
D1,você não ia mais trabalhar,S_ALCP_2017FA+_AdrieleS.eaf
S,ah nada eu não ia trabalhar pra ninguém não só ia pra beira da praia tomar água de coco,S_ALCP_2017FA+_AdrieleS.eaf
S,já sofri demais <a>,S_ALCP_2017FA+_AdrieleS.eaf
S,estou <e> fora estou <e> ah,S_ALCP_2017FA+_AdrieleS.eaf
D1,está certo,S_ALCP_2017FA+_AdrieleS.eaf
S,chega de sofrer,S_ALCP_2017FA+_AdrieleS.eaf
S,e levar as <a> pessoa que eu gosto <p> pra curtir  vamos <0> curtir gente,S_ALCP_2017FA+_AdrieleS.eaf
S,e bom,S_ALCP_2017FA+_AdrieleS.eaf
D1,festejar o resto da vida,S_ALCP_2017FA+_AdrieleS.eaf
S,deixa ixe deixa,S_ALCP_2017FA+_AdrieleS.eaf
S,passado pra trás <0> quem gosta <p> de passado é museu vamos <0>,S_ALCP_2017FA+_AdrieleS.eaf
S,isso,S_ALCP_2017FA+_AdrieleS.eaf
S,ah,S_ALCP_2017FA+_AdrieleS.eaf
S,pra frente né,S_ALCP_2017FA+_AdrieleS.eaf
ROTEIRO,TRABALHO,S_ALCP_2017FB-_LucimaraF.eaf
S,estou não,S_ALCP_2017FB-_LucimaraF.eaf
D1,mas quando você chegou pra cá você estava trabalhando você veio trabalhar,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah obrigada,S_ALCP_2017FB-_LucimaraF.eaf
D1,depois eu como obrigadinha,S_ALCP_2017FB-_LucimaraF.eaf
S,não quando eu logo cheguei aqui mais a v numa empresinha de uma mulher,S_ALCP_2017FB-_LucimaraF.eaf
S,quinze dias,S_ALCP_2017FB-_LucimaraF.eaf
S,que,S_ALCP_2017FB-_LucimaraF.eaf
D1,ahn,S_ALCP_2017FB-_LucimaraF.eaf
S,que a mulher,S_ALCP_2017FB-_LucimaraF.eaf
S,nós aliás nos fa eu fazia produção,S_ALCP_2017FB-_LucimaraF.eaf
S,que era numa máquina e a mulher queria assinar carteira como serviços gerais,S_ALCP_2017FB-_LucimaraF.eaf
S,aí o meu marido mandou eu sair eu saí,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
S,lá eu fiquei quinze di quinze dias só,S_ALCP_2017FB-_LucimaraF.eaf
D1,você ficou quanto tempo lá,S_ALCP_2017FB-_LucimaraF.eaf
S,foi,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah você ficou só quinze dias,S_ALCP_2017FB-_LucimaraF.eaf
S,e também trabalhei numa mulher ali clandestina logo quando eu fiquei grávida,S_ALCP_2017FB-_LucimaraF.eaf
D1,mas lá,S_ALCP_2017FB-_LucimaraF.eaf
S,eh coisando marmita marmitex,S_ALCP_2017FB-_LucimaraF.eaf
S,no lá no parque,S_ALCP_2017FB-_LucimaraF.eaf
S,que ela que a mulher tinha mas a mulher faliu também,S_ALCP_2017FB-_LucimaraF.eaf
S,foi aí,S_ALCP_2017FB-_LucimaraF.eaf
D1,aí você ficou,S_ALCP_2017FB-_LucimaraF.eaf
D1,depois você foi pra essa outra né,S_ALCP_2017FB-_LucimaraF.eaf
S,foi aí eu fui mais ahn fui até mais a v aí nós só fi ficou só quinze dias,S_ALCP_2017FB-_LucimaraF.eaf
D1,a empresa,S_ALCP_2017FB-_LucimaraF.eaf
S,que a mulher queria assinar a carteira assim,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhn,S_ALCP_2017FB-_LucimaraF.eaf
D1,mas lá em alagoas você trabalhava,S_ALCP_2017FB-_LucimaraF.eaf
S,lá em alagoas era na roça não mas só que em alagoas,S_ALCP_2017FB-_LucimaraF.eaf
S,eu trabalhava na roça mas eu já trabalhei lá na,S_ALCP_2017FB-_LucimaraF.eaf
S,na cidade já trabalhei como babá,S_ALCP_2017FB-_LucimaraF.eaf
S,só que lá não assinava carteira né minha carteira nunca foi assinada,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
S,eu já trabalhei como babá já trabalhei já trabalhei na casa de família,S_ALCP_2017FB-_LucimaraF.eaf
S,só,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
S,acho que não e trabalhei num restaurante <p> mas <h> era assim só dia de sábado,S_ALCP_2017FB-_LucimaraF.eaf
S,num restaurante <a>,S_ALCP_2017FB-_LucimaraF.eaf
D1,o último lá que você trabalhou foi do restaurante ou não,S_ALCP_2017FB-_LucimaraF.eaf
S,foi,S_ALCP_2017FB-_LucimaraF.eaf
S,que eu ia só dia de sábado,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhn,S_ALCP_2017FB-_LucimaraF.eaf
D1,e lá você você trabalhava perto da sua casa,S_ALCP_2017FB-_LucimaraF.eaf
S,não era na cidade,S_ALCP_2017FB-_LucimaraF.eaf
S,tinha que pegar ônibus <a>,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,era na cidade,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você gostava de trabalhar lá,S_ALCP_2017FB-_LucimaraF.eaf
S,gostava <p>,S_ALCP_2017FB-_LucimaraF.eaf
S,mas <a> o po o lá era perdido nem assinava a carteira e pagava muito pouco,S_ALCP_2017FB-_LucimaraF.eaf
S,muito pouco muito pouco,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
D1,e aqui quando você estava trabalhando na marmitex você estava gostando ou não,S_ALCP_2017FB-_LucimaraF.eaf
S,onde eu trabalhei,S_ALCP_2017FB-_LucimaraF.eaf
S,quase,S_ALCP_2017FB-_LucimaraF.eaf
S,eu acho que foi só até quase um mês <a> porque eu fiquei grávida e eu comecei a enjoar o fedor de óleo da cozinha,S_ALCP_2017FB-_LucimaraF.eaf
S,aí eu saí,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhn,S_ALCP_2017FB-_LucimaraF.eaf
S,não mas <0> eu gostava <p>,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah você gostava então,S_ALCP_2017FB-_LucimaraF.eaf
D1,e lá o que que você fazia você era cozinheira,S_ALCP_2017FB-_LucimaraF.eaf
S,não lá eu ajudava eh,S_ALCP_2017FB-_LucimaraF.eaf
S,lacrar as <h> marmitex <a>,S_ALCP_2017FB-_LucimaraF.eaf
S,entendeu e fazer salada,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhn,S_ALCP_2017FB-_LucimaraF.eaf
S,lá eu ajudava,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah sei,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você ficou um mês você falou né,S_ALCP_2017FB-_LucimaraF.eaf
S,quase um mês <a>,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você se sentia reconhecida lá no seu trabalho,S_ALCP_2017FB-_LucimaraF.eaf
S,nem sei falar,S_ALCP_2017FB-_LucimaraF.eaf
S,que a patroa era meia doida,S_ALCP_2017FB-_LucimaraF.eaf
D1,é,S_ALCP_2017FB-_LucimaraF.eaf
S,era,S_ALCP_2017FB-_LucimaraF.eaf
D1,você queria alcançar algum outro cargo lá dentro assim,S_ALCP_2017FB-_LucimaraF.eaf
S,não,S_ALCP_2017FB-_LucimaraF.eaf
S,a mulher não era ela fazia em casa entendeu,S_ALCP_2017FB-_LucimaraF.eaf
S,não tinha anda assim com registro <a>,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
S,era na casa dela mesmo <h>,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhn,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,era bem assim,S_ALCP_2017FB-_LucimaraF.eaf
D1,bem em casa mesmo coisa feita em casa,S_ALCP_2017FB-_LucimaraF.eaf
D1,e qual que seria a profissão dos seus sonhos,S_ALCP_2017FB-_LucimaraF.eaf
S,ixe,S_ALCP_2017FB-_LucimaraF.eaf
S,sei não,S_ALCP_2017FB-_LucimaraF.eaf
D1,quando você era criança o que você queria fazer,S_ALCP_2017FB-_LucimaraF.eaf
D1,assim,S_ALCP_2017FB-_LucimaraF.eaf
D1,que você sempre falou ah queria tanto ser isso,S_ALCP_2017FB-_LucimaraF.eaf
D1,não teve,S_ALCP_2017FB-_LucimaraF.eaf
S,uhn uhn,S_ALCP_2017FB-_LucimaraF.eaf
D1,não,S_ALCP_2017FB-_LucimaraF.eaf
D1,e se você ganhasse na mega sena o que que você faria,S_ALCP_2017FB-_LucimaraF.eaf
S,vixe,S_ALCP_2017FB-_LucimaraF.eaf
S,eu nem sei,S_ALCP_2017FB-_LucimaraF.eaf
D1,você você ia,S_ALCP_2017FB-_LucimaraF.eaf
D1,sei lá viajar comprar alguma coisa ajudar a família,S_ALCP_2017FB-_LucimaraF.eaf
S,viajava,S_ALCP_2017FB-_LucimaraF.eaf
S,ajudava a família,S_ALCP_2017FB-_LucimaraF.eaf
S,só,S_ALCP_2017FB-_LucimaraF.eaf
S,só,S_ALCP_2017FB-_LucimaraF.eaf
D1,só isso,S_ALCP_2017FB-_LucimaraF.eaf
S,só,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,que simples,S_ALCP_2017FB-_LucimaraF.eaf
ROTEIRO,TRABALHO,S_ALCP_2017MA-_DanielS.eaf
D1,bom,S_ALCP_2017MA-_DanielS.eaf
D1,você trabalha aqui né,S_ALCP_2017MA-_DanielS.eaf
D1,e,S_ALCP_2017MA-_DanielS.eaf
S,isso,S_ALCP_2017MA-_DanielS.eaf
D1,bom,S_ALCP_2017MA-_DanielS.eaf
D1,quando você sai você,S_ALCP_2017MA-_DanielS.eaf
D1,você pega ônibus você vai de carro o que que você faz,S_ALCP_2017MA-_DanielS.eaf
S,ah vou de carro com m,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
D1,e o que que você faz aqui,S_ALCP_2017MA-_DanielS.eaf
S,ah aqui mais trabalhos,S_ALCP_2017MA-_DanielS.eaf
S,se quando eu saio do trabalho descanso,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,que descansa muito pouco né,S_ALCP_2017MA-_DanielS.eaf
S,aí quando é dia de folga dou uma,S_ALCP_2017MA-_DanielS.eaf
S,dou uma vol uma voltinha,S_ALCP_2017MA-_DanielS.eaf
S,tipo vou no taquaral de lá pra essas coisas né pra sair o estresse mais e,S_ALCP_2017MA-_DanielS.eaf
S,volto a trabalhar de novo,S_ALCP_2017MA-_DanielS.eaf
D1,mas aqui no trabalho o que que você faz assim,S_ALCP_2017MA-_DanielS.eaf
S,aqui no trabalho,S_ALCP_2017MA-_DanielS.eaf
D1,sim,S_ALCP_2017MA-_DanielS.eaf
S,ah,S_ALCP_2017MA-_DanielS.eaf
S,muitas coisas vixe,S_ALCP_2017MA-_DanielS.eaf
S,é muitas coisas eh atender cliente,S_ALCP_2017MA-_DanielS.eaf
S,carregar prato,S_ALCP_2017MA-_DanielS.eaf
S,tipo se tiver vazio o salão a gente bota pra fazer outra coisa,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,e é assim,S_ALCP_2017MA-_DanielS.eaf
D1,faz de tudo,S_ALCP_2017MA-_DanielS.eaf
S,isso de tudo um pouco né,S_ALCP_2017MA-_DanielS.eaf
S,tudo faz um pouco,S_ALCP_2017MA-_DanielS.eaf
D1,aham,S_ALCP_2017MA-_DanielS.eaf
S,só não pode ficar parado,S_ALCP_2017MA-_DanielS.eaf
D1,e faz tempo que você está nesse serviço,S_ALCP_2017MA-_DanielS.eaf
S,faz uns oito a nove meses já,S_ALCP_2017MA-_DanielS.eaf
D1,e o que que você mais gosta do seu serviço,S_ALCP_2017MA-_DanielS.eaf
S,ah o que eu mais gosto é,S_ALCP_2017MA-_DanielS.eaf
S,chegar,S_ALCP_2017MA-_DanielS.eaf
S,ter força pra trabalhar todos os dias né,S_ALCP_2017MA-_DanielS.eaf
S,porque é muito bom pensou você acordar ter suas forças pra trabalhar,S_ALCP_2017MA-_DanielS.eaf
S,chegar no serviço olhar os amigos estar tudo bem graças a deus,S_ALCP_2017MA-_DanielS.eaf
S,e ter força pra trabalhar,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
D1,então você gosta do seu do seu trabalho,S_ALCP_2017MA-_DanielS.eaf
S,isso,S_ALCP_2017MA-_DanielS.eaf
S,com certeza,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,meio cansativo mas,S_ALCP_2017MA-_DanielS.eaf
S,dá né,S_ALCP_2017MA-_DanielS.eaf
S,dá pra ir,S_ALCP_2017MA-_DanielS.eaf
D1,e você se sente reconhecido no seu trabalho,S_ALCP_2017MA-_DanielS.eaf
S,sim,S_ALCP_2017MA-_DanielS.eaf
S,sim né,S_ALCP_2017MA-_DanielS.eaf
D1,e você quer alcançar algum outro cargo,S_ALCP_2017MA-_DanielS.eaf
S,ah eu estou aqui pra isso né porque ficar só ne nessa não dá,S_ALCP_2017MA-_DanielS.eaf
S,sempre que tem que,S_ALCP_2017MA-_DanielS.eaf
S,olhar se muda de posição porque,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,ficar só pra uma numa vida in na vida inteira não dá,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,não dá certo,S_ALCP_2017MA-_DanielS.eaf
D1,mas qual seria a profissão dos seus sonhos você tem alguma profissão dos seus sonhos,S_ALCP_2017MA-_DanielS.eaf
S,ah moça eu queria eh,S_ALCP_2017MA-_DanielS.eaf
