V1,V4,V5
D1,o que vocês gostam de fazer,S_ALCP_2017FB-_LucimaraF.eaf
S,não nós <a> em vez <a> enquanto nós <a> inventa de se ajuntar e,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah é,S_ALCP_2017FB-_LucimaraF.eaf
S,eh e fazer,S_ALCP_2017FB-_LucimaraF.eaf
S,nós <a> assa uma carne,S_ALCP_2017FB-_LucimaraF.eaf
S,só nós <0> mesmo <h> mas <a> ele trabalha de domingo a domingo,S_ALCP_2017FB-_LucimaraF.eaf
S,é a folga dele é dia de segunda feira é um dia sem graça né,S_ALCP_2017FB-_LucimaraF.eaf
D1,ai que dó que pena,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,é ruim né um dia está todo mundo assim,S_ALCP_2017FB-_LucimaraF.eaf
S,aí ele folga um domingo só a cada dois <h> mês <a> aí quando ele folga às <a> vez <0> nós <h> vai pra casa de uma irmã dele que as <a> irmã mora longe,S_ALCP_2017FB-_LucimaraF.eaf
D1,trabalhando,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,ahn,S_ALCP_2017FB-_LucimaraF.eaf
S,ele,S_ALCP_2017FB-_LucimaraF.eaf
D1,ele faz o quê,S_ALCP_2017FB-_LucimaraF.eaf
S,trabalha no tênis <a> clube de,S_ALCP_2017FB-_LucimaraF.eaf
S,encarregado,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah ele trabalha junto com a v então,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhn entendi,S_ALCP_2017FB-_LucimaraF.eaf
D1,ai que legal,S_ALCP_2017FB-_LucimaraF.eaf
D1,bom que legal né,S_ALCP_2017FB-_LucimaraF.eaf
D1,trabalha muito,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhn,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você acha que campinas tem boas opções de de lazer assim,S_ALCP_2017FB-_LucimaraF.eaf
S,mulher eu nunca fui,S_ALCP_2017FB-_LucimaraF.eaf
S,aqui eu nunca fui não,S_ALCP_2017FB-_LucimaraF.eaf
D1,você nunca sai,S_ALCP_2017FB-_LucimaraF.eaf
S,eu só fui uma vez <a> só pro,S_ALCP_2017FB-_LucimaraF.eaf
D1,não,S_ALCP_2017FB-_LucimaraF.eaf
D1,pra nenhum lugar,S_ALCP_2017FB-_LucimaraF.eaf
S,foi pro zoológico não foi v,S_ALCP_2017FB-_LucimaraF.eaf
S,fui uma vez <a> só pro zooloógico quando eu estava <e> grávida,S_ALCP_2017FB-_LucimaraF.eaf
S,sim,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,aqui de campinas você fala,S_ALCP_2017FB-_LucimaraF.eaf
S,só uma vez <0> mas <0> pra as <a> outras <a> área eu não fui pra nenhuma não,S_ALCP_2017FB-_LucimaraF.eaf
S,não não,S_ALCP_2017FB-_LucimaraF.eaf
D1,então você não costuma sair muito assim,S_ALCP_2017FB-_LucimaraF.eaf
D1,é criança pequena né,S_ALCP_2017FB-_LucimaraF.eaf
S,ih,S_ALCP_2017FB-_LucimaraF.eaf
S,o domingo mesmo <0> eu fui pra praça ali com a s nossa não tive sossego,S_ALCP_2017FB-_LucimaraF.eaf
D1,dá trabalho né,S_ALCP_2017FB-_LucimaraF.eaf
S,ela não parou sabe o que é não parou,S_ALCP_2017FB-_LucimaraF.eaf
S,eh eu sei que eu cheguei mais <a> enfadada em casa do que ela,S_ALCP_2017FB-_LucimaraF.eaf
D1,e vo aqui quais quais são seus amigos mais antigos são daqui ou são de lá de alagoas,S_ALCP_2017FB-_LucimaraF.eaf
S,de alagoas <a>,S_ALCP_2017FB-_LucimaraF.eaf
D1,você tem aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
S,aqui eu não tenho não,S_ALCP_2017FB-_LucimaraF.eaf
D1,são de alagoas,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah tem alguns aqui é que é família né mas assim também é amigo né,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,querendo ou não,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você ainda mantém contato com esses amigos seus,S_ALCP_2017FB-_LucimaraF.eaf
S,de vez <a> em quando eu tenho só com uma,S_ALCP_2017FB-_LucimaraF.eaf
D1,que é a ma uma das mais antigas,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,você mantém contato como pelo whatsapp,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
S,pelo whatsapp,S_ALCP_2017FB-_LucimaraF.eaf
D1,e lá você costuma ligar assim pra os seus pais,S_ALCP_2017FB-_LucimaraF.eaf
S,eu sempre falo mais <a> só com a mãe e com essa irmã mais <a> velha,S_ALCP_2017FB-_LucimaraF.eaf
D1,pra sua pra os seus irmãos que ficaram lá,S_ALCP_2017FB-_LucimaraF.eaf
S,só,S_ALCP_2017FB-_LucimaraF.eaf
S,não,S_ALCP_2017FB-_LucimaraF.eaf
D1,os outros irmãos não,S_ALCP_2017FB-_LucimaraF.eaf
S,de vez <a> em quando eu falo com,S_ALCP_2017FB-_LucimaraF.eaf
S,pelo whatsapp,S_ALCP_2017FB-_LucimaraF.eaf
S,com os <a> outros <p> dois <a> de vez <a> em quando mas <0> não é direto não,S_ALCP_2017FB-_LucimaraF.eaf
D1,você falou,S_ALCP_2017FB-_LucimaraF.eaf
D1,às vezes né,S_ALCP_2017FB-_LucimaraF.eaf
D1,às vezes é difícil né manter contato,S_ALCP_2017FB-_LucimaraF.eaf
D1,você falou pra mim que você não costuma sair muito aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,mas quando você estava em alagoas você costumava viajar,S_ALCP_2017FB-_LucimaraF.eaf
S,não,S_ALCP_2017FB-_LucimaraF.eaf
S,não,S_ALCP_2017FB-_LucimaraF.eaf
D1,não também,S_ALCP_2017FB-_LucimaraF.eaf
D1,teve algum lugar que você já viajou pra lá,S_ALCP_2017FB-_LucimaraF.eaf
S,quando eu estava <e> lá eu já viajei pra aqui,S_ALCP_2017FB-_LucimaraF.eaf
D1,quando você estava lá,S_ALCP_2017FB-_LucimaraF.eaf
D1,é,S_ALCP_2017FB-_LucimaraF.eaf
S,três <a> vezes <a> com essa,S_ALCP_2017FB-_LucimaraF.eaf
S,com essa última agora que eu vim,S_ALCP_2017FB-_LucimaraF.eaf
S,é a terceira,S_ALCP_2017FB-_LucimaraF.eaf
D1,essa aqui é a terceira,S_ALCP_2017FB-_LucimaraF.eaf
D1,mas as últimas duas você veio pra passear só,S_ALCP_2017FB-_LucimaraF.eaf
S,foi,S_ALCP_2017FB-_LucimaraF.eaf
S,não,S_ALCP_2017FB-_LucimaraF.eaf
S,vim traba a primeira eu vim trabalhar em são paulo,S_ALCP_2017FB-_LucimaraF.eaf
S,a primeira vez <a>,S_ALCP_2017FB-_LucimaraF.eaf
S,não mas <0> em são paulo eu vim trabalhar mas <h> eu não gostei <p> da mulher,S_ALCP_2017FB-_LucimaraF.eaf
D1,você ficou quanto tempo em são paulo,S_ALCP_2017FB-_LucimaraF.eaf
S,aí eu fu passei quinze dia e fui-me embo não passei três <h> mês <a> e quinze dia,S_ALCP_2017FB-_LucimaraF.eaf
S,aí eu não gostei <p> da patroa aí eu saí e vim embora que era japonês <a> era uma mulher enjoada da gota,S_ALCP_2017FB-_LucimaraF.eaf
D1,ahn,S_ALCP_2017FB-_LucimaraF.eaf
S,ai,S_ALCP_2017FB-_LucimaraF.eaf
S,aí eu fui-me embora,S_ALCP_2017FB-_LucimaraF.eaf
D1,e depois você veio de novo,S_ALCP_2017FB-_LucimaraF.eaf
S,aí eu vim de novo,S_ALCP_2017FB-_LucimaraF.eaf
S,trazer uma prima minha que é deficiente da,S_ALCP_2017FB-_LucimaraF.eaf
S,da vista <p> que o marido dela estava <e> aqui trabalhando,S_ALCP_2017FB-_LucimaraF.eaf
S,não eu só eu só vim mais <a> ela aí eu fiquei trinta dia,S_ALCP_2017FB-_LucimaraF.eaf
D1,você veio pra trabalhar também ou você só veio ajudar ela,S_ALCP_2017FB-_LucimaraF.eaf
S,nesses <a> trinta dia ela resolveu não ficar com o marido aí nós <0> vo nós <0> voltou de novo pra alagoas <a>,S_ALCP_2017FB-_LucimaraF.eaf
D1,mas você veio pra são paulo a primeira vez ou você veio pra campinas aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,primeira vez <a> foi pra são paulo a segunda pra aqui pra campinas <a> ali no parque,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah que você tinha falado,S_ALCP_2017FB-_LucimaraF.eaf
S,foi,S_ALCP_2017FB-_LucimaraF.eaf
D1,e aí agora a terceira vez você veio pra morar mesmo,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você vai pretende ficar aqui ou não pretende voltar,S_ALCP_2017FB-_LucimaraF.eaf
S,pretendo ficar né,S_ALCP_2017FB-_LucimaraF.eaf
S,daqui eu vou pra bahia,S_ALCP_2017FB-_LucimaraF.eaf
S,da bahia,S_ALCP_2017FB-_LucimaraF.eaf
D1,seu marido é de alagoas,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,é da bahia,S_ALCP_2017FB-_LucimaraF.eaf
S,ele quer ir morar lá na bahia,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah e ele quer ir pra lá,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,você tem que ir junto né,S_ALCP_2017FB-_LucimaraF.eaf
D1,e tem algum lugar que você gostaria de conhecer,S_ALCP_2017FB-_LucimaraF.eaf
D1,algum estado,S_ALCP_2017FB-_LucimaraF.eaf
S,que cidade,S_ALCP_2017FB-_LucimaraF.eaf
S,eu,S_ALCP_2017FB-_LucimaraF.eaf
S,e eu lembro mais <a> qual foi a cidade tem tanto canto,S_ALCP_2017FB-_LucimaraF.eaf
S,eu não eu falei foi aonde foi porto de galinha,S_ALCP_2017FB-_LucimaraF.eaf
S,porto de galinha,S_ALCP_2017FB-_LucimaraF.eaf
D1,você quer conhecer lá,S_ALCP_2017FB-_LucimaraF.eaf
S,aham,S_ALCP_2017FB-_LucimaraF.eaf
ROTEIRO,LAZER,S_ALCP_2017MA-_DanielS.eaf
D1,e na suas horas de lazer você e sua família gosta de fazer o quê,S_ALCP_2017MA-_DanielS.eaf
S,ah sentar e conversar,S_ALCP_2017MA-_DanielS.eaf
S,então,S_ALCP_2017MA-_DanielS.eaf
S,os <a> momento que tem né é pra sentar e conversar e fazer resenha,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,brincar falar da vida alheia,S_ALCP_2017MA-_DanielS.eaf
D1,e aqui você também gosta de fazer isso,S_ALCP_2017MA-_DanielS.eaf
S,isso sempre a gente faz <a> né quando sai do trabalho,S_ALCP_2017MA-_DanielS.eaf
S,os <a> menino se reúne tudo no nossos <a> quarto lá e fica lá conversando,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,um resenhando com o outro,S_ALCP_2017MA-_DanielS.eaf
D1,e você acha que aqui em campinas tem boas opções de lazer,S_ALCP_2017MA-_DanielS.eaf
S,sim,S_ALCP_2017MA-_DanielS.eaf
D1,quais são,S_ALCP_2017MA-_DanielS.eaf
S,tipo de folga sair né se,S_ALCP_2017MA-_DanielS.eaf
S,tipo a pessoa vai pra um pra uma piscina <a>,S_ALCP_2017MA-_DanielS.eaf
S,que nem tem aqui perto mesmo <a>,S_ALCP_2017MA-_DanielS.eaf
S,ficar de boa de lazer,S_ALCP_2017MA-_DanielS.eaf
D1,uhn,S_ALCP_2017MA-_DanielS.eaf
S,relaxar,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,se deitar também né se quiser dormir seu sono,S_ALCP_2017MA-_DanielS.eaf
S,não tem coisa melhor,S_ALCP_2017MA-_DanielS.eaf
S,ah descansar <a> é bem bacana,S_ALCP_2017MA-_DanielS.eaf
D1,é verdade,S_ALCP_2017MA-_DanielS.eaf
D1,e quais são os seus amigos mais antigos,S_ALCP_2017MA-_DanielS.eaf
D1,da sua vida assim,S_ALCP_2017MA-_DanielS.eaf
D1,são daqui são de lá,S_ALCP_2017MA-_DanielS.eaf
S,ah mais <a> antigo são de lá,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,assim antigo mesmo <a>,S_ALCP_2017MA-_DanielS.eaf
S,ficou lá,S_ALCP_2017MA-_DanielS.eaf
S,só tem um,S_ALCP_2017MA-_DanielS.eaf
S,um,S_ALCP_2017MA-_DanielS.eaf
S,é só tem um aqui,S_ALCP_2017MA-_DanielS.eaf
S,dois <a>,S_ALCP_2017MA-_DanielS.eaf
S,que eu conhecia né antigamente depois <a> que eu cheguei aqui eu conheci os <a> outro mas <a>,S_ALCP_2017MA-_DanielS.eaf
S,que eu conhecia mesmo <a> só era dois <a>,S_ALCP_2017MA-_DanielS.eaf
D1,faz tempo que você conhece,S_ALCP_2017MA-_DanielS.eaf
S,sim,S_ALCP_2017MA-_DanielS.eaf
D1,desde pequeno,S_ALCP_2017MA-_DanielS.eaf
S,desde <a> criança,S_ALCP_2017MA-_DanielS.eaf
D1,olha só,S_ALCP_2017MA-_DanielS.eaf
D1,e vocês ainda mantêm contato,S_ALCP_2017MA-_DanielS.eaf
S,sim,S_ALCP_2017MA-_DanielS.eaf
S,na verdade mora até comigo né,S_ALCP_2017MA-_DanielS.eaf
D1,é,S_ALCP_2017MA-_DanielS.eaf
S,é,S_ALCP_2017MA-_DanielS.eaf
D1,mora aqui,S_ALCP_2017MA-_DanielS.eaf
S,é o é que é o d e o z ali que eu conheço os <a> dois <a> faz  <a> tempo já,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
D1,ah que legal,S_ALCP_2017MA-_DanielS.eaf
D1,e você costuma viajar ou costumava viajar quando você estava lá em alagoas,S_ALCP_2017MA-_DanielS.eaf
S,não,S_ALCP_2017MA-_DanielS.eaf
D1,não,S_ALCP_2017MA-_DanielS.eaf
S,não a minha primeira viagem é essa,S_ALCP_2017MA-_DanielS.eaf
D1,ah é,S_ALCP_2017MA-_DanielS.eaf
S,na verdade,S_ALCP_2017MA-_DanielS.eaf
D1,mas nem lá pra perto assim alguma cidade mais vizinha,S_ALCP_2017MA-_DanielS.eaf
S,ah mais <a> perto sim pra girau,S_ALCP_2017MA-_DanielS.eaf
S,sítio canafístula <p> do cipriano,S_ALCP_2017MA-_DanielS.eaf
S,muito mais <a> perto né sete oito quilômetro,S_ALCP_2017MA-_DanielS.eaf
D1,aham,S_ALCP_2017MA-_DanielS.eaf
D1,e você gostava de viajar,S_ALCP_2017MA-_DanielS.eaf
S,sim,S_ALCP_2017MA-_DanielS.eaf
S,todo final de semana eu ia toda segunda todo domingo eu ia pra girau,S_ALCP_2017MA-_DanielS.eaf
D1,uhum,S_ALCP_2017MA-_DanielS.eaf
S,canafístula <p> do cipriano,S_ALCP_2017MA-_DanielS.eaf
D1,e que lugares você gostaria de conhecer,S_ALCP_2017MA-_DanielS.eaf
S,ah muitos <a> viu,S_ALCP_2017MA-_DanielS.eaf
D1,é,S_ALCP_2017MA-_DanielS.eaf
S,é,S_ALCP_2017MA-_DanielS.eaf
D1,quais,S_ALCP_2017MA-_DanielS.eaf
S,tipo rio de janeiro,S_ALCP_2017MA-_DanielS.eaf
S,palmas <a>,S_ALCP_2017MA-_DanielS.eaf
S,que é dividido com tocantins <a> goiás <a> mesmo <a>,S_ALCP_2017MA-_DanielS.eaf
S,esses <a> assim que eu queria,S_ALCP_2017MA-_DanielS.eaf
D1,algum lugar pra fora ou não,S_ALCP_2017MA-_DanielS.eaf
S,não,S_ALCP_2017MA-_DanielS.eaf
D1,não,S_ALCP_2017MA-_DanielS.eaf
S,não tenho muita paixão pra olhar pra fora não,S_ALCP_2017MA-_DanielS.eaf
ROTEIRO,LAZER,S_ALCP_2017MA-_WellingtonF.eaf
D1,e nas horas de lazer o que é que você e sua família gostava de fazer lá,S_ALCP_2017MA-_WellingtonF.eaf
S,uhn,S_ALCP_2017MA-_WellingtonF.eaf
D1,ou ainda gostam,S_ALCP_2017MA-_WellingtonF.eaf
S,lá nós,S_ALCP_2017MA-_WellingtonF.eaf
S,ia pra casa da,S_ALCP_2017MA-_WellingtonF.eaf
S,dos familiares,S_ALCP_2017MA-_WellingtonF.eaf
D1,uhum,S_ALCP_2017MA-_WellingtonF.eaf
S,ia pra casa de um tio meu que morava no interior,S_ALCP_2017MA-_WellingtonF.eaf
S,ele mora num tipo uma fazenda lá em um sitiozinho a gente ia pra lá,S_ALCP_2017MA-_WellingtonF.eaf
S,quando não ia nós ficava em casa ou,S_ALCP_2017MA-_WellingtonF.eaf
S,fazia alguma coisa lá ou ia assistir algum filme,S_ALCP_2017MA-_WellingtonF.eaf
S,quando não saia nós ficava em casa,S_ALCP_2017MA-_WellingtonF.eaf
S,fazia um churrasquinho em casa mesmo,S_ALCP_2017MA-_WellingtonF.eaf
S,minhas irmãs gostavam muito de ir pra casa das amigas ficava mais eu meu pai e minha mãe,S_ALCP_2017MA-_WellingtonF.eaf
S,quando ela estava não saia nós ficava tudo reunido lá,S_ALCP_2017MA-_WellingtonF.eaf
D1,uhum,S_ALCP_2017MA-_WellingtonF.eaf
S,que dia de domingo eu trabalhava quando eu trabalhava lá eu trabalhava,S_ALCP_2017MA-_WellingtonF.eaf
S,de segunda a sábado,S_ALCP_2017MA-_WellingtonF.eaf
S,aí sábado e domingo eu ficava sossegado em casa,S_ALCP_2017MA-_WellingtonF.eaf
S,nós ficava tudo reunido em casa,S_ALCP_2017MA-_WellingtonF.eaf
D1,uhum,S_ALCP_2017MA-_WellingtonF.eaf
S,muito bom,S_ALCP_2017MA-_WellingtonF.eaf
D1,e aqui você gosta de fazer o quê,S_ALCP_2017MA-_WellingtonF.eaf
D1,pra se divertir,S_ALCP_2017MA-_WellingtonF.eaf
S,aqui eu gosto,S_ALCP_2017MA-_WellingtonF.eaf
S,de visitar os amigos que a gente conhece que é de lá também,S_ALCP_2017MA-_WellingtonF.eaf
S,eh gosto de fazer churrasco com os amigos gosto,S_ALCP_2017MA-_WellingtonF.eaf
S,gosto de,S_ALCP_2017MA-_WellingtonF.eaf
S,ah curto uma baladinha sertaneja é muito bom,S_ALCP_2017MA-_WellingtonF.eaf
S,e é essa a diversão,S_ALCP_2017MA-_WellingtonF.eaf
S,passear um pouco pra distrair a mente,S_ALCP_2017MA-_WellingtonF.eaf
S,gosto de correr lá na lagoa lá no taquaral,S_ALCP_2017MA-_WellingtonF.eaf
D1,gostoso né,S_ALCP_2017MA-_WellingtonF.eaf
S,muito bom quase todos os dias eu estou lá correndo,S_ALCP_2017MA-_WellingtonF.eaf
D1,ah é,S_ALCP_2017MA-_WellingtonF.eaf
S,eu acho muito bom,S_ALCP_2017MA-_WellingtonF.eaf
D1,atleta lá,S_ALCP_2017MA-_WellingtonF.eaf
S,atleta,S_ALCP_2017MA-_WellingtonF.eaf
S,pra não viver sedentário né só,S_ALCP_2017MA-_WellingtonF.eaf
S,trabalho e vou dormir,S_ALCP_2017MA-_WellingtonF.eaf
D1,eh,S_ALCP_2017MA-_WellingtonF.eaf
S,que aí fica,S_ALCP_2017MA-_WellingtonF.eaf
S,fica chato né,S_ALCP_2017MA-_WellingtonF.eaf
S,distrair um pouco a mente,S_ALCP_2017MA-_WellingtonF.eaf
D1,está certo né,S_ALCP_2017MA-_WellingtonF.eaf
S,praticar esporte,S_ALCP_2017MA-_WellingtonF.eaf
D1,e você acha que campinas então tem boas opções de lazer,S_ALCP_2017MA-_WellingtonF.eaf
S,tem,S_ALCP_2017MA-_WellingtonF.eaf
D1,tem,S_ALCP_2017MA-_WellingtonF.eaf
