TRILHA,ANOTACAO,ARQUIVO
S,agora as rua estão tudo asfaltada né,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,tudo legal agora mudou bastante,S_ALCP_2017FA+_AdrieleS.eaf
D1,teve mais casa também cresceu,S_ALCP_2017FA+_AdrieleS.eaf
S,bastante viu,S_ALCP_2017FA+_AdrieleS.eaf
S,quando eu cheguei a eh quando eu comprei o terreno era morro,S_ALCP_2017FA+_AdrieleS.eaf
D1,ah é,S_ALCP_2017FA+_AdrieleS.eaf
S,e aí,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,está tudo morando aqui no mesmo bairro é,S_ALCP_2017FA+_AdrieleS.eaf
S,uma mora vizinha,S_ALCP_2017FA+_AdrieleS.eaf
S,a outra mora pra baixo da minha casa a outras duas mora vizinha da outra,S_ALCP_2017FA+_AdrieleS.eaf
D1,está tudo pertinho agora,S_ALCP_2017FA+_AdrieleS.eaf
S,tudo perto,S_ALCP_2017FA+_AdrieleS.eaf
S,o único que mora mais longe é meu irmão,S_ALCP_2017FA+_AdrieleS.eaf
D1,ah seu irmão mora longe,S_ALCP_2017FA+_AdrieleS.eaf
S,o a,S_ALCP_2017FA+_AdrieleS.eaf
S,lá em santos,S_ALCP_2017FA+_AdrieleS.eaf
S,e o outro mora ali perto do habibs,S_ALCP_2017FA+_AdrieleS.eaf
D1,ah,S_ALCP_2017FA+_AdrieleS.eaf
D1,aqui do ouro verde,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,e,S_ALCP_2017FA+_AdrieleS.eaf
D1,o que você acha que esse bairro ele tem assim de diferente dos outros bairros de campinas,S_ALCP_2017FA+_AdrieleS.eaf
S,eh de todos bairro,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,o que você acha que esse bairro ele tem assim de diferente dos outros bairros de campinas,S_ALCP_2017FA+_AdrieleS.eaf
S,eh de todos bairro,S_ALCP_2017FA+_AdrieleS.eaf
D1,é assim o que que seu bairro tem de diferente dos outros bairros,S_ALCP_2017FA+_AdrieleS.eaf
S,eh pra vista desses outros bairro que é,S_ALCP_2017FA+_AdrieleS.eaf
S,que é pequeninho né,S_ALCP_2017FA+_AdrieleS.eaf
S,pequenas calçadas casa,S_ALCP_2017FA+_AdrieleS.eaf
S,e aqui o são judas só estão fazendo o,S_ALCP_2017FA+_AdrieleS.eaf
S,eh,S_ALCP_2017FA+_AdrieleS.eaf
S,casarão sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,está ficando bairro chique eu estou achando,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,só casa,S_ALCP_2017FA+_AdrieleS.eaf
D1,grandona,S_ALCP_2017FA+_AdrieleS.eaf
S,grande,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,é assim o que que seu bairro tem de diferente dos outros bairros,S_ALCP_2017FA+_AdrieleS.eaf
S,eh pra vista desses outros bairro que é,S_ALCP_2017FA+_AdrieleS.eaf
S,que é pequeninho né,S_ALCP_2017FA+_AdrieleS.eaf
S,pequenas calçadas casa,S_ALCP_2017FA+_AdrieleS.eaf
S,e aqui o são judas só estão fazendo o,S_ALCP_2017FA+_AdrieleS.eaf
S,eh,S_ALCP_2017FA+_AdrieleS.eaf
S,casarão sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,está ficando bairro chique eu estou achando,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,só casa,S_ALCP_2017FA+_AdrieleS.eaf
D1,grandona,S_ALCP_2017FA+_AdrieleS.eaf
S,grande,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,daí o que dá valoriza o bairro,S_ALCP_2017FA+_AdrieleS.eaf
S,é as casa né,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,e costuma aqui a ter festa de bairro alguma coisa assim,S_ALCP_2017FA+_AdrieleS.eaf
S,ai,S_ALCP_2017FA+_AdrieleS.eaf
S,é dia das criança teve,S_ALCP_2017FA+_AdrieleS.eaf
D1,tem,S_ALCP_2017FA+_AdrieleS.eaf
D1,festinha para as crianças,S_ALCP_2017FA+_AdrieleS.eaf
S,tem,S_ALCP_2017FA+_AdrieleS.eaf
S,aham,S_ALCP_2017FA+_AdrieleS.eaf
D1,quem organiza são os moradores mesmo,S_ALCP_2017FA+_AdrieleS.eaf
S,é o,S_ALCP_2017FA+_AdrieleS.eaf
S,moradores mesmo,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
S,ele,S_ALCP_2017FA+_AdrieleS.eaf
S,pede num assim,S_ALCP_2017FA+_AdrieleS.eaf
S,em cada comércio ele,S_ALCP_2017FA+_AdrieleS.eaf
S,sai pedindo uma ajuda sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,lugar assim do bairro que as pessoas costumam se reunir,S_ALCP_2017FA+_AdrieleS.eaf
D1,pra festejar alguma coisa ou não,S_ALCP_2017FA+_AdrieleS.eaf
S,tem não,S_ALCP_2017FA+_AdrieleS.eaf
D1,não tem,S_ALCP_2017FA+_AdrieleS.eaf
S,só se for nas praças,S_ALCP_2017FA+_AdrieleS.eaf
S,ai ai,S_ALCP_2017FA+_AdrieleS.eaf
D1,e já aconteceu alguma coisa aqui que fez vocês pen pensar em se mudar,S_ALCP_2017FA+_AdrieleS.eaf
S,ai meu deus que vi bastante,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
S,ah mas é briga de família mesmo,S_ALCP_2017FA+_AdrieleS.eaf
D1,não foi nada assim de assalto nada assim,S_ALCP_2017FA+_AdrieleS.eaf
S,mas depo,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
S,graças a deus não é sossegado esse bairro,S_ALCP_2017FA+_AdrieleS.eaf
D1,foi mais com a família,S_ALCP_2017FA+_AdrieleS.eaf
S,é sossegado,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,aqui no em campinas algum outro bairro,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
D1,não,S_ALCP_2017FA+_AdrieleS.eaf
S,eu gosto desse bairro demais,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,que bom né,S_ALCP_2017FA+_AdrieleS.eaf
S,eu gosto,S_ALCP_2017FA+_AdrieleS.eaf
D1,ô d me fala como foi que a sua infância,S_ALCP_2017FA+_AdrieleS.eaf
S,a minha infância vai ser puxada,S_ALCP_2017FA+_AdrieleS.eaf
S,ai nem,S_ALCP_2017FA+_AdrieleS.eaf
D1,foi lá em alagoas a sua infância,S_ALCP_2017FA+_AdrieleS.eaf
S,aham,S_ALCP_2017FA+_AdrieleS.eaf
S,a minha infância eu não gosto nem de contar,S_ALCP_2017FA+_AdrieleS.eaf
D1,você não brincava quando você era criança,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,vocês mudaram de casa assim de bairro ou foi de cidade,S_ALCP_2017FA+_AdrieleS.eaf
S,não de casa mesmo,S_ALCP_2017FA+_AdrieleS.eaf
D1,que cidade que você nasceu,S_ALCP_2017FA+_AdrieleS.eaf
S,eh são josé da lage,S_ALCP_2017FA+_AdrieleS.eaf
D1,e lá você morou até os seus até você vir pra cá ou não,S_ALCP_2017FA+_AdrieleS.eaf
S,não,S_ALCP_2017FA+_AdrieleS.eaf
D1,você morou,S_ALCP_2017FA+_AdrieleS.eaf
S,eu,S_ALCP_2017FA+_AdrieleS.eaf
S,daí eu fui morar,S_ALCP_2017FA+_AdrieleS.eaf
S,é uma cidadinha que chama terreno,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
D1,terreno,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,daí eu se mudei pra lá aí de lá,S_ALCP_2017FA+_AdrieleS.eaf
S,eu se mudei pra cá,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,algum bairro de campinas que essas pessoas que vem de fora se concentram mais,S_ALCP_2017FA+_AdrieleS.eaf
S,ai menina é mais nesses cantinho,S_ALCP_2017FA+_AdrieleS.eaf
S,nesses bairro que,S_ALCP_2017FA+_AdrieleS.eaf
S,está começando sabe,S_ALCP_2017FA+_AdrieleS.eaf
D1,é,S_ALCP_2017FA+_AdrieleS.eaf
S,é por causa que,S_ALCP_2017FA+_AdrieleS.eaf
S,fica difícil morar no bairro chique né,S_ALCP_2017FA+_AdrieleS.eaf
D1,sim,S_ALCP_2017FA+_AdrieleS.eaf
S,e os aluguel é tudo caro,S_ALCP_2017FA+_AdrieleS.eaf
S,os aluguel é tudo caro os terreno está o olha do cara,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
S,por causo,S_ALCP_2017FA+_AdrieleS.eaf
S,o meu terreno eu paguei trinta mil agora vai comprar niguém compra terreno mais barato aqui nesse bairro,S_ALCP_2017FA+_AdrieleS.eaf
S,não compra,S_ALCP_2017FA+_AdrieleS.eaf
S,o aluguel está um absurdo também,S_ALCP_2017FA+_AdrieleS.eaf
D1,uhum,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,dentro de campinas você consegue eh identificar se alguma pessoa é de algum bairro específico,S_ALCP_2017FA+_AdrieleS.eaf
D1,pelo sotaque dela,S_ALCP_2017FA+_AdrieleS.eaf
S,ah eh,S_ALCP_2017FA+_AdrieleS.eaf
S,é difícil né,S_ALCP_2017FA+_AdrieleS.eaf
S,eu conheço mais é assim,S_ALCP_2017FA+_AdrieleS.eaf
S,da minha terrinha,S_ALCP_2017FA+_AdrieleS.eaf
D1,sim sim,S_ALCP_2017FA+_AdrieleS.eaf
D1,mas é difícil mesmo né por bairro,S_ALCP_2017FA+_AdrieleS.eaf
S,é difícil,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
S,é difícil,S_ALCP_2017FA+_AdrieleS.eaf
D1,tá,S_ALCP_2017FA+_AdrieleS.eaf
D1,eh,S_ALCP_2017FA+_AdrieleS.eaf
D1,bom,S_ALCP_2017FA+_AdrieleS.eaf
D1,eu vou fazer umas perguntinhas mais pontuais agora e vou anotando está bom,S_ALCP_2017FA+_AdrieleS.eaf
S,está,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FA+_AdrieleS.eaf,,
--- Trecho ---,,
D1,mas é difícil mesmo né por bairro,S_ALCP_2017FA+_AdrieleS.eaf
S,é difícil,S_ALCP_2017FA+_AdrieleS.eaf
S,é,S_ALCP_2017FA+_AdrieleS.eaf
S,é difícil,S_ALCP_2017FA+_AdrieleS.eaf
D1,tá,S_ALCP_2017FA+_AdrieleS.eaf
D1,eh,S_ALCP_2017FA+_AdrieleS.eaf
D1,bom,S_ALCP_2017FA+_AdrieleS.eaf
D1,eu vou fazer umas perguntinhas mais pontuais agora e vou anotando está bom,S_ALCP_2017FA+_AdrieleS.eaf
S,está,S_ALCP_2017FA+_AdrieleS.eaf
D1,calma,S_ALCP_2017FA+_AdrieleS.eaf
D1,um lápis aqui né,S_ALCP_2017FA+_AdrieleS.eaf
D1,está aqui,S_ALCP_2017FA+_AdrieleS.eaf
D1,d,S_ALCP_2017FA+_AdrieleS.eaf
D1,eh,S_ALCP_2017FA+_AdrieleS.eaf
D1,sem contar as pessoas que moram com você,S_ALCP_2017FA+_AdrieleS.eaf
D1,quem são as cinco pessoas que você mais convive,S_ALCP_2017FA+_AdrieleS.eaf
,,
### Arquivo: S_ALCP_2017FB-_LucimaraF.eaf,,
--- Trecho ---,,
D1,há quanto tempo que  você mora aqui nesse bairro,S_ALCP_2017FB-_LucimaraF.eaf
S,nesse bairro eu moro há três ano e,S_ALCP_2017FB-_LucimaraF.eaf
S,não eu moro há,S_ALCP_2017FB-_LucimaraF.eaf
S,há três ano e acho que uns,S_ALCP_2017FB-_LucimaraF.eaf
S,seis meses,S_ALCP_2017FB-_LucimaraF.eaf
D1,três anos e seis meses,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você já morou em algum outro bairro aqui de campinas,S_ALCP_2017FB-_LucimaraF.eaf
S,não só nesse,S_ALCP_2017FB-_LucimaraF.eaf
D1,só nesse você veio de alagoas direto pra cá,S_ALCP_2017FB-_LucimaraF.eaf
S,direto pra cá,S_ALCP_2017FB-_LucimaraF.eaf
D1,não morou em nenhuma outra cidade aqui perto,S_ALCP_2017FB-_LucimaraF.eaf
S,não não só aqui,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você gosta de morar aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,gosto,S_ALCP_2017FB-_LucimaraF.eaf
D1,gosta por que que você gosta,S_ALCP_2017FB-_LucimaraF.eaf
,,
### Arquivo: S_ALCP_2017FB-_LucimaraF.eaf,,
--- Trecho ---,,
D1,e você já morou em algum outro bairro aqui de campinas,S_ALCP_2017FB-_LucimaraF.eaf
S,não só nesse,S_ALCP_2017FB-_LucimaraF.eaf
D1,só nesse você veio de alagoas direto pra cá,S_ALCP_2017FB-_LucimaraF.eaf
S,direto pra cá,S_ALCP_2017FB-_LucimaraF.eaf
D1,não morou em nenhuma outra cidade aqui perto,S_ALCP_2017FB-_LucimaraF.eaf
S,não não só aqui,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você gosta de morar aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,gosto,S_ALCP_2017FB-_LucimaraF.eaf
D1,gosta por que que você gosta,S_ALCP_2017FB-_LucimaraF.eaf
S,gosto,S_ALCP_2017FB-_LucimaraF.eaf
S,ah porque,S_ALCP_2017FB-_LucimaraF.eaf
S,desde que eu cheguei aqui eu acho um bairro tranquilo,S_ALCP_2017FB-_LucimaraF.eaf
D1,aham,S_ALCP_2017FB-_LucimaraF.eaf
S,não acho um bairro agitado não acho bom,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você aqui você conhece seus vizinhos,S_ALCP_2017FB-_LucimaraF.eaf
S,não assim eu conheço essa mulher aí de frente,S_ALCP_2017FB-_LucimaraF.eaf
,,
### Arquivo: S_ALCP_2017FB-_LucimaraF.eaf,,
--- Trecho ---,,
D1,e que que você acha que esse bairro aqui ele tem de diferente das outra dos outros bairros de campinas você acha que tem alguma diferença alguma coisa,S_ALCP_2017FB-_LucimaraF.eaf
D1,você gosta daqui que que não tem em outro bairro,S_ALCP_2017FB-_LucimaraF.eaf
S,mulher eu não sei não sei,S_ALCP_2017FB-_LucimaraF.eaf
S,falar a diferença eu sei que eu gosto daqui do bairro porque é o posto de saúde é bem pertinho,S_ALCP_2017FB-_LucimaraF.eaf
S,de casa o posto de saúde o terminal também aí por isso que eu gosto daqui,S_ALCP_2017FB-_LucimaraF.eaf
D1,é tudo muito perto aqui né,S_ALCP_2017FB-_LucimaraF.eaf
S,tudo perto o supermercado tudo perto também,S_ALCP_2017FB-_LucimaraF.eaf
S,tem lotérica tudo,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
D1,então você consegue fazer tudo aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,legal,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você sabe se aqui costuma haver,S_ALCP_2017FB-_LucimaraF.eaf
D1,festa de bairro,S_ALCP_2017FB-_LucimaraF.eaf
D1,alguma coisa assim,S_ALCP_2017FB-_LucimaraF.eaf
D1,uma festinha celebração alguma coisa,S_ALCP_2017FB-_LucimaraF.eaf
,,
### Arquivo: S_ALCP_2017FB-_LucimaraF.eaf,,
--- Trecho ---,,
D1,você gosta daqui que que não tem em outro bairro,S_ALCP_2017FB-_LucimaraF.eaf
S,mulher eu não sei não sei,S_ALCP_2017FB-_LucimaraF.eaf
S,falar a diferença eu sei que eu gosto daqui do bairro porque é o posto de saúde é bem pertinho,S_ALCP_2017FB-_LucimaraF.eaf
S,de casa o posto de saúde o terminal também aí por isso que eu gosto daqui,S_ALCP_2017FB-_LucimaraF.eaf
D1,é tudo muito perto aqui né,S_ALCP_2017FB-_LucimaraF.eaf
S,tudo perto o supermercado tudo perto também,S_ALCP_2017FB-_LucimaraF.eaf
S,tem lotérica tudo,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
D1,então você consegue fazer tudo aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,legal,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você sabe se aqui costuma haver,S_ALCP_2017FB-_LucimaraF.eaf
D1,festa de bairro,S_ALCP_2017FB-_LucimaraF.eaf
D1,alguma coisa assim,S_ALCP_2017FB-_LucimaraF.eaf
D1,uma festinha celebração alguma coisa,S_ALCP_2017FB-_LucimaraF.eaf
S,uhn não,S_ALCP_2017FB-_LucimaraF.eaf
,,
### Arquivo: S_ALCP_2017FB-_LucimaraF.eaf,,
--- Trecho ---,,
D1,festa de bairro,S_ALCP_2017FB-_LucimaraF.eaf
D1,alguma coisa assim,S_ALCP_2017FB-_LucimaraF.eaf
D1,uma festinha celebração alguma coisa,S_ALCP_2017FB-_LucimaraF.eaf
S,uhn não,S_ALCP_2017FB-_LucimaraF.eaf
S,festa de de bairro aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,aqui mesmo onde eu moro no meu bairro eu nunca vi não já vi festinha ali na igreja,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
S,na igreja aqui católica é,S_ALCP_2017FB-_LucimaraF.eaf
D1,nessa igreja,S_ALCP_2017FB-_LucimaraF.eaf
S,bom dosco,S_ALCP_2017FB-_LucimaraF.eaf
D1,aqui embaixo né,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,uhum,S_ALCP_2017FB-_LucimaraF.eaf
D1,já viu festa de igreja mas assim geralmente é festa tipo festa junina,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
S,ali é,S_ALCP_2017FB-_LucimaraF.eaf
,,
### Arquivo: S_ALCP_2017FB-_LucimaraF.eaf,,
--- Trecho ---,,
D1,e você sabe se tem algum outro lugar aqui no bairro que as pessoas costumam se reunir,S_ALCP_2017FB-_LucimaraF.eaf
S,não sei,S_ALCP_2017FB-_LucimaraF.eaf
D1,não,S_ALCP_2017FB-_LucimaraF.eaf
S,sei não não,S_ALCP_2017FB-_LucimaraF.eaf
D1,e você sabe se as pessoas se ajudam por aqui,S_ALCP_2017FB-_LucimaraF.eaf
S,não,S_ALCP_2017FB-_LucimaraF.eaf
D1,não se ajudam,S_ALCP_2017FB-_LucimaraF.eaf
D1,ou não sabe,S_ALCP_2017FB-_LucimaraF.eaf
S,eu não sei nã eu não sei não se se ajudam não,S_ALCP_2017FB-_LucimaraF.eaf
D1,não,S_ALCP_2017FB-_LucimaraF.eaf
S,sei não falar,S_ALCP_2017FB-_LucimaraF.eaf
D1,mas assim se você precisar de ajuda algum dia pra quem que você recorre,S_ALCP_2017FB-_LucimaraF.eaf
S,ah eu recorro pra o vizinho aí de frente,S_ALCP_2017FB-_LucimaraF.eaf
D1,de frente,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,e pra eles,S_ALCP_2017FB-_LucimaraF.eaf
,,
### Arquivo: S_ALCP_2017FB-_LucimaraF.eaf,,
--- Trecho ---,,
D1,mas tem algum outro bairro de campinas hoje que você gostaria de,S_ALCP_2017FB-_LucimaraF.eaf
D1,de morar,S_ALCP_2017FB-_LucimaraF.eaf
S,só lá no,S_ALCP_2017FB-_LucimaraF.eaf
S,ali no parque universitário,S_ALCP_2017FB-_LucimaraF.eaf
D1,parque universitário,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,é aqui perto,S_ALCP_2017FB-_LucimaraF.eaf
S,é,S_ALCP_2017FB-_LucimaraF.eaf
D1,é onde que fica mais ou menos,S_ALCP_2017FB-_LucimaraF.eaf
S,não aqui eh fica perto assim mas pra lá eu vou de ônibus foi de lá de onde eles estão vindo agora,S_ALCP_2017FB-_LucimaraF.eaf
D1,ah tá,S_ALCP_2017FB-_LucimaraF.eaf
S,ali perto do,S_ALCP_2017FB-_LucimaraF.eaf
