ARQUIVO,TRILHA,OCORRENCIA
S_ALCP_2017FB-_LucimaraF.eaf,D1,e você se sentia reconhecida lá no seu trabalho
S_ALCP_2017FB-_LucimaraF.eaf,S,nem sei falar
S_ALCP_2017FB-_LucimaraF.eaf,S,que a patroa era meia doida
S_ALCP_2017FB-_LucimaraF.eaf,D1,é
S_ALCP_2017FB-_LucimaraF.eaf,S,era
S_ALCP_2017FB-_LucimaraF.eaf,D1,você queria alcançar algum outro cargo lá dentro assim
S_ALCP_2017FB-_LucimaraF.eaf,S,não
S_ALCP_2017FB-_LucimaraF.eaf,S,a mulher não era ela fazia em casa entendeu 
S_ALCP_2017FB-_LucimaraF.eaf,S,não tinha anda assim com registro 
S_ALCP_2017FB-_LucimaraF.eaf,D1,uhum
S_ALCP_2017FB-_LucimaraF.eaf,S,era na casa dela mesmo 
S_ALCP_2017FB-_LucimaraF.eaf,D1,uhn
S_ALCP_2017FB-_LucimaraF.eaf,S,é
S_ALCP_2017FB-_LucimaraF.eaf,D1,era bem assim
S_ALCP_2017FB-_LucimaraF.eaf,D1,bem em casa mesmo coisa feita em casa
S_ALCP_2017FB-_LucimaraF.eaf,D1,e qual que seria a profissão dos seus sonhos
S_ALCP_2017FB-_LucimaraF.eaf,D1,dá trabalho né
S_ALCP_2017FB-_LucimaraF.eaf,S,ela não parou sabe o que é não parou
S_ALCP_2017FB-_LucimaraF.eaf,S,eh eu sei que eu cheguei mais  enfadada em casa do que ela
S_ALCP_2017MA-_DanielS.eaf,D1,mas aqui no trabalho o que que você faz assim
S_ALCP_2017MA-_DanielS.eaf,S,aqui no trabalho
S_ALCP_2017MA-_DanielS.eaf,D1,sim
S_ALCP_2017MA-_DanielS.eaf,S,ah
S_ALCP_2017MA-_DanielS.eaf,S,muitas coisas vixe
S_ALCP_2017MA-_DanielS.eaf,S,é muitas coisas eh atender cliente
S_ALCP_2017MA-_DanielS.eaf,S,carregar prato
S_ALCP_2017MA-_DanielS.eaf,S,tipo se tiver vazio o salão a gente bota pra fazer outra coisa
S_ALCP_2017MA-_DanielS.eaf,D1,uhum
S_ALCP_2017MA-_DanielS.eaf,S,e é assim
S_ALCP_2017MA-_DanielS.eaf,D1,faz de tudo
S_ALCP_2017MA-_DanielS.eaf,S,isso de tudo um pouco né
S_ALCP_2017MA-_DanielS.eaf,S,tudo faz um pouco
S_ALCP_2017MA-_DanielS.eaf,D1,aham
S_ALCP_2017MA-_DanielS.eaf,S,só não pode ficar parado
S_ALCP_2017MA-_DanielS.eaf,D1,e faz tempo que você está nesse serviço
S_ALCP_2017MA-_DanielS.eaf,D1,e faz tempo que você está nesse serviço
S_ALCP_2017MA-_DanielS.eaf,S,faz uns oito a nove meses já
S_ALCP_2017MA-_DanielS.eaf,D1,e o que que você mais gosta do seu serviço
S_ALCP_2017MA-_DanielS.eaf,S,ah o que eu mais gosto é
S_ALCP_2017MA-_DanielS.eaf,S,chegar
S_ALCP_2017MA-_DanielS.eaf,S,ter força pra trabalhar todos os dias né
S_ALCP_2017MA-_DanielS.eaf,S,porque é muito bom pensou você acordar ter suas forças pra trabalhar
S_ALCP_2017MA-_DanielS.eaf,S,chegar no serviço olhar os amigos estar tudo bem graças a deus
S_ALCP_2017MA-_DanielS.eaf,S,e ter força pra trabalhar
S_ALCP_2017MA-_DanielS.eaf,D1,uhum
S_ALCP_2017MA-_DanielS.eaf,D1,então você gosta do seu do seu trabalho
S_ALCP_2017MA-_DanielS.eaf,S,isso
S_ALCP_2017MA-_DanielS.eaf,S,com certeza
S_ALCP_2017MA-_DanielS.eaf,D1,uhum
S_ALCP_2017MA-_DanielS.eaf,S,meio cansativo mas
S_ALCP_2017MA-_DanielS.eaf,S,dá né
S_ALCP_2017MA-_DanielS.eaf,S,dá pra ir
S_ALCP_2017MA-_DanielS.eaf,D1,e você se sente reconhecido no seu trabalho
S_ALCP_2017MA-_DanielS.eaf,S,sim
S_ALCP_2017MA-_DanielS.eaf,S,sim né
S_ALCP_2017MA-_DanielS.eaf,D1,e você quer alcançar algum outro cargo
S_ALCP_2017MA-_DanielS.eaf,S,ah eu estou aqui pra isso né porque ficar só ne nessa não dá
S_ALCP_2017MA-_DanielS.eaf,S,sempre que tem que
S_ALCP_2017MA-_DanielS.eaf,S,olhar se muda de posição porque
S_ALCP_2017MA-_DanielS.eaf,D1,uhum
S_ALCP_2017MA-_DanielS.eaf,S,ficar só pra uma numa vida in na vida inteira não dá
S_ALCP_2017MA-_DanielS.eaf,S,não dá certo
S_ALCP_2017MA-_DanielS.eaf,D1,mas qual seria a profissão dos seus sonhos você tem alguma profissão dos seus sonhos
S_ALCP_2017MA-_DanielS.eaf,S,ah moça eu queria eh
S_ALCP_2017MA-_DanielS.eaf,S,ter minhas  primeiro trabalhar né pra construir 
S_ALCP_2017MA-_DanielS.eaf,S,ficar de boa
S_ALCP_2017MA-_DanielS.eaf,S,não trabalhar pra ninguém
S_ALCP_2017MA-_WellingtonF.eaf,D1,sai como que você faz pra voltar pro seu trabalho
S_ALCP_2017MA-_WellingtonF.eaf,D1,você vem a pé pega ônibus
S_ALCP_2017MA-_WellingtonF.eaf,S,pego o uber
S_ALCP_2017MA-_WellingtonF.eaf,D1,uber
S_ALCP_2017MA-_WellingtonF.eaf,S,às vezes eu saio com um colega meu
S_ALCP_2017MA-_WellingtonF.eaf,S,eu tinha uma moto hoje eu não tenho mais aí meu colega tem uma moto aí a gente sai junto de moto
S_ALCP_2017MA-_WellingtonF.eaf,S,aí geralmente a gente está saindo mais de moto
S_ALCP_2017MA-_WellingtonF.eaf,S,antes era mais de uber
S_ALCP_2017MA-_WellingtonF.eaf,D1,aham
S_ALCP_2017MA-_WellingtonF.eaf,S,antes uma xxx a gente sair cada um em uma moto
S_ALCP_2017MA-_WellingtonF.eaf,S,aí hoje eu não tenho mais só ele tem
S_ALCP_2017MA-_WellingtonF.eaf,S,aí quando a gente está de folga mesmo a gente vai
S_ALCP_2017MA-_WellingtonF.eaf,S,ou vai pra paulínia na casa de uns colegas ou vai em hortolândia
S_ALCP_2017MA-_WellingtonF.eaf,S,ou aqui mesmo a dis
S_ALCP_2017MA-_WellingtonF.eaf,S,e mais de moto
S_ALCP_2017MA-_WellingtonF.eaf,D1,uhum
S_ALCP_2017MA-_WellingtonF.eaf,D1,e faz tempo que você trabalha nesse serviço
S_ALCP_2017MA-_WellingtonF.eaf,S,dois anos  
S_ALCP_2017MA-_WellingtonF.eaf,D1,dois anos também
S_ALCP_2017MA-_WellingtonF.eaf,S,o meu primeiro emprego aqui foi
S_ALCP_2017MA-_WellingtonF.eaf,S,assi assim o tempo que eu estou aqui só foi aqui que eu trabalhei
S_ALCP_2017MA-_WellingtonF.eaf,D1,ah entendi
S_ALCP_2017MA-_WellingtonF.eaf,S,eu cheguei aqui antes de abrir essa loja que ela fez dois anos esse mês
S_ALCP_2017MA-_WellingtonF.eaf,S,e quando eu cheguei aqui ela não
S_ALCP_2017MA-_WellingtonF.eaf,S,não estava aberta ainda
S_ALCP_2017MA-_WellingtonF.eaf,S,só tinha ali em paulínia
S_ALCP_2017MA-_WellingtonF.eaf,S,e ali em hortolândia
S_ALCP_2017MA-_WellingtonF.eaf,S,aí eu passei um ou foi dois meses em paulínia e quando ela abriu eu vim pra cá
S_ALCP_2017MA-_WellingtonF.eaf,D1,uhum
S_ALCP_2017MA-_WellingtonF.eaf,S,aí estou até hoje
S_ALCP_2017MA-_WellingtonF.eaf,D1,já é veterando de casa
S_ALCP_2017MA-_WellingtonF.eaf,S,é
S_ALCP_2017MA-_WellingtonF.eaf,D1,e você gosta do seu serviço
S_ALCP_2017MA-_WellingtonF.eaf,S,gosto gosto
S_ALCP_2017MA-_WellingtonF.eaf,D1,gosta bastante
S_ALCP_2017MA-_WellingtonF.eaf,S,gosto muito
S_ALCP_2017MA-_WellingtonF.eaf,D1,e você se sente reconhecido aqui no seu trabalho
S_ALCP_2017MA-_WellingtonF.eaf,S,sinto
S_ALCP_2017MA-_WellingtonF.eaf,S,que a gente
S_ALCP_2017MA-_WellingtonF.eaf,S,pega assim como você já presenciou mesmo aqui
S_ALCP_2017MA-_WellingtonF.eaf,S,a gente gosta de pegar e conversar com os clientes
S_ALCP_2017MA-_WellingtonF.eaf,S,a gente pega intimidade com eles a gente
S_ALCP_2017MA-_WellingtonF.eaf,S,vê ele na rua é o mesmo que estar vendo um amigo
S_ALCP_2017MA-_WellingtonF.eaf,S,que a gente já conhecia a anos
S_ALCP_2017MA-_WellingtonF.eaf,D1,uhum
S_ALCP_2017MA-_WellingtonF.eaf,S,eu gosto eu sinto
S_ALCP_2017MA-_WellingtonF.eaf,S,às vezes eu me sinto conhecido aqui dentro
S_ALCP_2017MA-_WellingtonF.eaf,D1,uhum
S_ALCP_2017MA-_WellingtonF.eaf,S,quando é um cliente velho
S_ALCP_2017MA-_WellingtonF.eaf,S,que vem aqui sempre toda semana
S_ALCP_2017MA-_WellingtonF.eaf,D1,uhum
S_ALCP_2017MA-_WellingtonF.eaf,S,a gente tem uma certa intimidade assim uma amizade
S_ALCP_2017MA-_WellingtonF.eaf,D1,está gostando do trabalho
S_ALCP_2017MA-_WellingtonF.eaf,S,estou gostando
S_ALCP_2017MA-_WellingtonF.eaf,S,é muito bom
S_ALCP_2017MA-_WellingtonF.eaf,D1,mas qual seria a sua profissão dos sonhos assim
S_ALCP_2017MA-_WellingtonF.eaf,S,dos sonhos
S_ALCP_2017MA-_WellingtonF.eaf,S,é
S_ALCP_2017MA-_WellingtonF.eaf,S,eu as
S_ALCP_2017MA-_WellingtonF.eaf,S,eh
S_ALCP_2017MA-_WellingtonF.eaf,S,tem um
S_ALCP_2017MA-_WellingtonF.eaf,S,eu queria tra eu queria trabalhar em banco
S_ALCP_2017MA-_WellingtonF.eaf,S,eu fui até a um concurso em alagoas mas eu não passei
S_ALCP_2017MA-_WellingtonF.eaf,S,mas a minha vontade mesmo é trabalhar em banco
S_ALCP_2017MA-_WellingtonF.eaf,D1,mas seria tipo a parte administrativa ou
S_ALCP_2017MA-_WellingtonF.eaf,D1,você fala do banco assim
S_ALCP_2017MA-_WellingtonF.eaf,S,do banco a parte administrativa lá
S_ALCP_2017MA-_WellingtonF.eaf,D1,uhum
S_ALCP_2017MB-_JoseO.eaf,D1,e e no seu trabalho
S_ALCP_2017MB-_JoseO.eaf,D1,eh o que é que você faz
S_ALCP_2017MB-_JoseO.eaf,S,eu sou segurança
S_ALCP_2017MB-_JoseO.eaf,D1,entendi
S_ALCP_2017MB-_JoseO.eaf,S,eh de não
S_ALCP_2017MB-_JoseO.eaf,D1,de comércio
S_ALCP_2017MB-_JoseO.eaf,S,na questão patrimonial
S_ALCP_2017MB-_JoseO.eaf,S,eh a gente
S_ALCP_2017MB-_JoseO.eaf,D1,ah
S_ALCP_2017MB-_JoseO.eaf,S,eh cuida do patrimônio né
S_ALCP_2017MB-_JoseO.eaf,S,eu no caso trabalho em um condomínio empresarial
S_ALCP_2017MB-_JoseO.eaf,D1,entendi
S_ALCP_2017MB-_JoseO.eaf,D1,e faz tempo que você trabalha
S_ALCP_2017MB-_JoseO.eaf,D1,de segurança
S_ALCP_2017MB-_JoseO.eaf,S,sim faz
S_ALCP_2017MB-_JoseO.eaf,S,cinco anos
S_ALCP_2017MB-_JosueA.eaf,D1,e faz tempo que você trabalha nesse serviço especificamente
S_ALCP_2017MB-_JosueA.eaf,S,assim
S_ALCP_2017MB-_JosueA.eaf,D1,como cozinheiro eu falo
S_ALCP_2017MB-_JosueA.eaf,D1,foi quando você chegou aqui que você começou a trabalhar
S_ALCP_2017MB-_JosueA.eaf,S,não
S_ALCP_2017MB-_JosueA.eaf,S,tipo como cozinheiro
S_ALCP_2017MB-_JosueA.eaf,S,comecei aqui
S_ALCP_2017MB-_JosueA.eaf,D1,aham
S_ALCP_2017MB-_JosueA.eaf,S,mas já trabalhei de barman também
S_ALCP_2017MB-_JosueA.eaf,S,trabalhei de ajudante de sushiman
S_ALCP_2017MB-_JosueA.eaf,S,eu já fiz um monte de coisa já
S_ALCP_2017MB-_JosueA.eaf,S,xxx agora cozinheiro mesmo só foi depois que eu cheguei aqui
S_ALCP_2017MB-_JosueA.eaf,D1,entendi
S_ALCP_2017MB-_JosueA.eaf,D1,e você gosta do seu serviço
S_ALCP_2017MB-_JosueA.eaf,S,gosto sim
S_ALCP_2017MB-_JosueA.eaf,S,bastante viu
S_ALCP_2017MB-_JosueA.eaf,D1,e você gosta do seu serviço
S_ALCP_2017MB-_JosueA.eaf,S,gosto sim
S_ALCP_2017MB-_JosueA.eaf,S,bastante viu
S_ALCP_2017MB-_JosueA.eaf,D1,é
S_ALCP_2017MB-_JosueA.eaf,S,é é corrido mas eu gosto
S_ALCP_2017MB-_JosueA.eaf,S,às vezes estressa mas
S_ALCP_2017MB-_JosueA.eaf,D1,xxx
S_ALCP_2017MB-_JosueA.eaf,S,eu gosto do que eu faço
S_ALCP_2017MB-_JosueA.eaf,S,se tentar me mudar pra outra profissão eu posso até ir
S_ALCP_2017MB-_JosueA.eaf,S,te falar eu vou mas
S_ALCP_2017MB-_JosueA.eaf,S,se não tiver jeito mas eu vou
S_ALCP_2017MB-_JosueA.eaf,S,de ser cozinheiro eu gosto
S_ALCP_2017MB-_JosueA.eaf,D1,eh você se sente reconhecido aqui
S_ALCP_2017MB-_JosueA.eaf,D1,no seu trabalho
S_ALCP_2017MB-_JosueA.eaf,S,ah me sinto sim viu
S_ALCP_2017MB-_JosueA.eaf,D1,é
S_ALCP_2017MB-_JosueA.eaf,D1,no seu trabalho
S_ALCP_2017MB-_JosueA.eaf,S,ah me sinto sim viu
S_ALCP_2017MB-_JosueA.eaf,D1,é
S_ALCP_2017MB-_JosueA.eaf,S,me sinto sim
S_ALCP_2017MB-_JosueA.eaf,D1,e você quer alcançar algum outro cargo
S_ALCP_2017MB-_JosueA.eaf,S,assim
S_ALCP_2017MB-_JosueA.eaf,S,eu posso te falar
S_ALCP_2017MB-_JosueA.eaf,S,querer alcançar ou outro cargo tipo assim
S_ALCP_2017MB-_JosueA.eaf,S,eu nunca pensei não mas eu penso assim
S_ALCP_2017MB-_JosueA.eaf,S,um dia ser dono do meu próprio negócio entendeu
S_ALCP_2017MB-_JosueA.eaf,S,como é que fala
S_ALCP_2017MB-_JosueA.eaf,D1,o que que você gostaria de ter um dia assim
S_ALCP_2017MB-_JosueA.eaf,S,ah sei lá um mercado
S_ALCP_2017MB-_JosueA.eaf,S,assim pelo menos
S_ALCP_2017MB-_JosueA.eaf,S,se for meu mesmo
S_ALCP_2017MB-_JosueA.eaf,S,pode ser um mercado uma lojinha de celular
S_ALCP_2018FA+_CleoniceC.eaf,D1,você gosta do seu serviço
S_ALCP_2018FA+_CleoniceC.eaf,S,ah eu gosto 
S_ALCP_2018FA+_CleoniceC.eaf,D1,você gosta
S_ALCP_2018FA+_CleoniceC.eaf,S,apesar do puxado um pouquinho mas  eu gosto  só
S_ALCP_2018FA+_CleoniceC.eaf,D1,e você se sente reconhecida no que você faz
S_ALCP_2018FA+_CleoniceC.eaf,S,ah eu acho que sim mas  hoje em dia eles  estão  eles  estão  eles  eu acho que antes  era mais 
S_ALCP_2018FA+_CleoniceC.eaf,S,porque agora eles  estão  crescendo  bastante  eles  estão 
S_ALCP_2018FA+_CleoniceC.eaf,S,se modernizando muito então não estão  muito assim sabe
S_ALCP_2018FA+_CleoniceC.eaf,D1,ah
S_ALCP_2018FA+_CleoniceC.eaf,S,mas  antes  eu acho que e era mais  reconhecido tinha mais  reconhecimento
S_ALCP_2018FA+_CleoniceC.eaf,D1,entendi
S_ALCP_2018FA+_CleoniceC.eaf,S,mas  hoje em dia eles  estão  mais  se modernizando então
S_ALCP_2018FA+_CleoniceC.eaf,S,se regrando muito sabe aí não
S_ALCP_2018FA+_CleoniceC.eaf,D1,e você gostari e você gostaria de alcançar outro cargo nessa empresa
S_ALCP_2018FA+_CleoniceC.eaf,S,olha lá não porque lá não tem muito o que você fazer
S_ALCP_2018FA+_CleoniceC.eaf,S,pra ser ah de crescime crescimento  lá pode acontecer de
S_ALCP_2018FA-_MarleneN.eaf,D1,você você é mais manicure mesmo você não faz nada de outro tipo assim de serviço de pra fora né
S_ALCP_2018FA-_MarleneN.eaf,S,sou
S_ALCP_2018FA-_MarleneN.eaf,S,não
S_ALCP_2018FA-_MarleneN.eaf,S,não
S_ALCP_2018FA-_MarleneN.eaf,S,só manicure
S_ALCP_2018FA-_MarleneN.eaf,D1,entendi
S_ALCP_2018FA-_MarleneN.eaf,D1,e faz tempo que você vive assim disso
S_ALCP_2018FA-_MarleneN.eaf,S,sim eu acho que tem elas estão com oito acho que tem uns
S_ALCP_2018FA-_MarleneN.eaf,S,uns quatro ano
S_ALCP_2018FA-_MarleneN.eaf,D1,quatro anos já
S_ALCP_2018FA-_MarleneN.eaf,S,uhum
S_ALCP_2018FA-_MarleneN.eaf,D1,e você gosta do seu serviço
S_ALCP_2018FA-_MarleneN.eaf,S,eu gosto
S_ALCP_2018FA-_MarleneN.eaf,D1,gosta
S_ALCP_2018FA-_MarleneN.eaf,S,gosto
S_ALCP_2018FA-_MarleneN.eaf,D1,você sente realizada
S_ALCP_2018FA-_MarleneN.eaf,D1,e você gosta do seu serviço
S_ALCP_2018FA-_MarleneN.eaf,S,eu gosto
S_ALCP_2018FA-_MarleneN.eaf,D1,gosta
S_ALCP_2018FA-_MarleneN.eaf,S,gosto
S_ALCP_2018FA-_MarleneN.eaf,D1,você sente realizada
S_ALCP_2018FA-_MarleneN.eaf,S,sim
S_ALCP_2018FA-_MarleneN.eaf,D1,sim reconhecida também
S_ALCP_2018FA-_MarleneN.eaf,S,uhum
S_ALCP_2018FA-_MarleneN.eaf,D1,no seu trabalho
S_ALCP_2018FA-_MarleneN.eaf,D1,e bom é difícil falar de cargos nesse sentido mas tem algum outro
S_ALCP_2018FA-_MarleneN.eaf,D1,eh emprego alguma outra coisa que você gostaria de
S_ALCP_2018FA-_MarleneN.eaf,D1,de fazer
S_ALCP_2018FA-_MarleneN.eaf,D1,e no talvez no até mesmo na sua área né às vezes abrir um salãozinho
S_ALCP_2018FA-_MarleneN.eaf,D1,alguma coisa do tipo ou não
S_ALCP_2018FA-_MarleneN.eaf,S,não
S_ALCP_2018FA-_MarleneN.eaf,D1,não tem nada por enquanto está bom desse jeito
S_ALCP_2018FA-_MarleneN.eaf,S,não
S_ALCP_2018FA-_MarleneN.eaf,S,está bom desse jeito trabalhando assim mesmo
S_ALCP_2018FA-_MarleneN.eaf,D1,bom né
S_ALCP_2018FA-_MarleneN.eaf,D1,trabalhar por conta tem suas vantagens né
S_ALCP_2018FA-_MarleneN.eaf,S,é
S_ALCP_2018FA-_MarleneN.eaf,D1,mas qual que seria a profissão dos seus sonhos
S_ALCP_2018FA-_MarleneN.eaf,D1,tem alguma profissão dos sonhos
S_ALCP_2018FA-_MarleneN.eaf,S,ah desde quando eu estudava eu sonhava em ser
S_ALCP_2018FB+_IsabelaS.eaf,D1,e você escolheu vim pra cá por causa do quê de trabalho
S_ALCP_2018FB+_IsabelaS.eaf,S,foi assim
S_ALCP_2018FB+_IsabelaS.eaf,S,o que meu esposo
S_ALCP_2018FB+_IsabelaS.eaf,S,veio a veio antes né
S_ALCP_2018FB+_IsabelaS.eaf,D1,aham
S_ALCP_2018FB+_IsabelaS.eaf,S,ele passou um ano aqui sozinho
S_ALCP_2018FB+_IsabelaS.eaf,S,aí
S_ALCP_2018FB+_IsabelaS.eaf,S,lá
S_ALCP_2018FB+_IsabelaS.eaf,S,eu trabalhava
S_ALCP_2018FB+_IsabelaS.eaf,S,posso falar do trabalho de lá também
S_ALCP_2018FB+_IsabelaS.eaf,D1,pode pode falar
S_ALCP_2018FB+_IsabelaS.eaf,S,aí eu trabalhava pela prefeitura
S_ALCP_2018FB+_IsabelaS.eaf,S,lá
S_ALCP_2018FB+_IsabelaS.eaf,S,eh tem o nome da cidade lá é coité
S_ALCP_2018FB+_IsabelaS.eaf,D1,coité
S_ALCP_2018FB+_IsabelaS.eaf,S,coité
S_ALCP_2018FB+_IsabelaS.eaf,D1,ele veio por causa de serviço
S_ALCP_2018FB+_IsabelaS.eaf,S,de serviço
S_ALCP_2018FB+_IsabelaS.eaf,S,aí quando ele estava com um ano
S_ALCP_2018FB+_IsabelaS.eaf,S,aí ele ele fi ele
S_ALCP_2018FB+_IsabelaS.eaf,S,queria que eu viesse aí eu
S_ALCP_2018FB+_IsabelaS.eaf,S,tirei
S_ALCP_2018FB+_IsabelaS.eaf,S,do meu serviço lá
S_ALCP_2018FB+_IsabelaS.eaf,S,dois ano de licença
S_ALCP_2018FB+_IsabelaS.eaf,S,aí fo aí foi quando eu comecei o primeiro serviço aqui foi no motel né
S_ALCP_2018FB+_IsabelaS.eaf,S,aí depois quando completou dois ano eu fui chamada
S_ALCP_2018FB+_IsabelaS.eaf,S,pra voltar né
S_ALCP_2018FB+_IsabelaS.eaf,D1,uhum
S_ALCP_2018FB+_IsabelaS.eaf,S,pro serviço
S_ALCP_2018FB+_IsabelaS.eaf,S,aí foi até o advogado ele conversou comigo e tudo aí eu disse ah não
S_ALCP_2018FB+_IsabelaS.eaf,S,não tenho condições de ir
S_ALCP_2018FB+_IsabelaS.eaf,S,e porque
S_ALCP_2018FB+_IsabelaS.eaf,D1,e a senhora gosta do seu serviço
S_ALCP_2018FB+_IsabelaS.eaf,S,gosto 
S_ALCP_2018FB+_IsabelaS.eaf,D1,gosta
S_ALCP_2018FB+_IsabelaS.eaf,D1,ai que bom
S_ALCP_2018FB+_IsabelaS.eaf,D1,e você se sente reconhecida
S_ALCP_2018FB+_IsabelaS.eaf,S,é
S_ALCP_2018FB+_IsabelaS.eaf,S,eh
S_ALCP_2018FB+_IsabelaS.eaf,S,tsc
S_ALCP_2018FB+_IsabelaS.eaf,S,a gente tem que ser né
S_ALCP_2018FB+_IsabelaS.eaf,S,mais  ou menos  eu gosto  eu gosto  do trabalho
S_ALCP_2018FB+_IsabelaS.eaf,D1,você gosta né
S_ALCP_2018FB+_IsabelaS.eaf,S,eu gosto 
S_ALCP_2018FB+_IsabelaS.eaf,D1,e a senhora ali dentro quer alcançar outro cargo
S_ALCP_2018FB+_IsabelaS.eaf,S,como assim
S_ALCP_2018FB+_IsabelaS.eaf,D1,por exemplo a senhora gostaria de ser promovida pra sei lá
S_ALCP_2018FB+_IsabelaS.eaf,D1,eh ou cozinheira ou saladeira ou pro caixa ou pra garçonete alguma coisa assim
S_ALCP_2018FB+_IsabelaS.eaf,D1,colega de trabalho também
S_ALCP_2018FB+_IsabelaS.eaf,S,pode ser colega de trabalho
S_ALCP_2018FB+_IsabelaS.eaf,D1,pode
S_ALCP_2018FB+_IsabelaS.eaf,D1,você fala o nome pra mim
S_ALCP_2018FB+_IsabelaS.eaf,S,assim então
S_ALCP_2018FB+_IsabelaS.eaf,S,eh
S_ALCP_2018FB+_IsabelaS.eaf,S,a z
S_ALCP_2018FB+_IsabelaS.eaf,D1,z
S_ALCP_2018FB+_IsabelaS.eaf,S,é
S_ALCP_2018FB+_IsabelaS.eaf,D1,z ela é sua colega
S_ALCP_2018FB+_IsabelaS.eaf,S,é colega
S_ALCP_2018FB+_IsabelaS.eaf,S,colega de
S_ALCP_2018FB+_IsabelaS.eaf,S,que eu conheço ela assim
S_ALCP_2018FB+_IsabelaS.eaf,D1,uhum
S_ALCP_2018FB+_IsabelaS.eaf,D1,e ela é da onde
S_ALCP_2018FB+_IsabelaS.eaf,S,ela é do pará
S_ALCP_2018FB+_IsabelaS.eaf,D1,ó então a maiori a maioria do seus amigos seus colegas hoje de trabalho também são de alagoas
S_ALCP_2018FB+_IsabelaS.eaf,S,é
S_ALCP_2018FB+_IsabelaS.eaf,S,a e
S_ALCP_2018FB+_IsabelaS.eaf,D1,eu po
S_ALCP_2018FB+_IsabelaS.eaf,S,que eu falei e né
S_ALCP_2018FB+_IsabelaS.eaf,D1,uhum
S_ALCP_2018FB+_IsabelaS.eaf,S,ela é da bahia
S_ALCP_2018FB+_IsabelaS.eaf,D1,ah tá então eu posso colocar que metade é ou que poucos são
S_ALCP_2018FB+_IsabelaS.eaf,D1,poucos amigos são
